Demographic_Category,Respondent,Respondent,Respondent,Respondent,Respondent,Respondent,Respondent,Respondent,Cyclone,Cyclone,Cyclone,Cyclone,Cyclone,Cyclone,Cyclone,Cyclone,Floods,Floods,Floods,Floods,Floods,Floods,Floods,Floods
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Female,25.0,25.16,13.440238093129155,3.0,15.0,26.0,35.0,48.0,25.0,7.24,1.0908712114635717,5.0,6.0,7.0,8.0,9.0,25.0,8.68,0.9882644720249061,6.0,8.0,9.0,9.0,10.0
Male,25.0,25.84,15.905135439012563,1.0,11.0,25.0,40.0,50.0,25.0,7.72,1.2423096769056148,5.0,7.0,8.0,8.0,10.0,25.0,8.8,0.577350269189626,8.0,8.0,9.0,9.0,10.0
Couple no kids,8.0,26.75,14.63606114069922,5.0,17.0,28.0,36.5,45.0,8.0,7.0,1.5118578920369088,5.0,6.0,7.0,7.25,10.0,8.0,8.5,1.1952286093343936,6.0,8.0,9.0,9.0,10.0
Couple with kids,21.0,21.666666666666668,15.166849815743985,1.0,9.0,18.0,35.0,48.0,21.0,7.476190476190476,1.2090925365350502,6.0,7.0,7.0,8.0,10.0,21.0,8.761904761904763,0.5389584311207966,8.0,8.0,9.0,9.0,10.0
Single,13.0,29.923076923076923,16.02322032999577,3.0,20.0,30.0,46.0,50.0,13.0,7.6923076923076925,0.6304251719561152,7.0,7.0,8.0,8.0,9.0,13.0,8.76923076923077,0.8320502943378436,7.0,8.0,9.0,9.0,10.0
Single Parent,8.0,27.125,9.523467255754522,16.0,20.0,25.5,34.5,40.0,8.0,7.625,1.5059406173077154,5.0,6.75,8.0,9.0,9.0,8.0,8.875,0.9910312089651149,7.0,8.75,9.0,9.25,10.0
Migrant,15.0,22.333333333333332,14.617341299520467,1.0,11.5,21.0,35.0,45.0,15.0,7.6,0.828078671210825,6.0,7.0,8.0,8.0,9.0,15.0,8.8,0.6761234037828133,7.0,9.0,9.0,9.0,10.0
Resident,35.0,26.857142857142858,14.558488239921505,2.0,14.5,28.0,39.5,50.0,35.0,7.428571428571429,1.3125125049424298,5.0,7.0,7.0,8.0,10.0,35.0,8.714285714285714,0.8599394154935145,6.0,8.0,9.0,9.0,10.0
Owner,33.0,24.12121212121212,14.163680612215474,1.0,13.0,24.0,35.0,50.0,33.0,7.484848484848484,1.3491018336566578,5.0,7.0,7.0,8.0,10.0,33.0,8.757575757575758,0.830297500534561,6.0,8.0,9.0,9.0,10.0
Renter,17.0,28.176470588235293,15.428201831863165,3.0,16.0,29.0,39.0,49.0,17.0,7.470588235294118,0.7998161553463027,6.0,7.0,8.0,8.0,9.0,17.0,8.705882352941176,0.7717436331412897,7.0,8.0,9.0,9.0,10.0
no,19.0,25.526315789473685,14.92711336629733,3.0,14.5,22.0,38.0,49.0,19.0,7.473684210526316,1.0733344230135036,5.0,7.0,8.0,8.0,9.0,19.0,8.736842105263158,0.7334928056269077,7.0,8.0,9.0,9.0,10.0
yes,31.0,25.483870967741936,14.607922434400534,1.0,12.5,27.0,37.0,50.0,31.0,7.483870967741935,1.2615061828870937,5.0,7.0,7.0,8.0,10.0,31.0,8.741935483870968,0.8550922732073566,6.0,8.0,9.0,9.0,10.0
no,19.0,25.894736842105264,16.006577595344655,1.0,14.0,22.0,38.5,49.0,19.0,7.578947368421052,0.9612370197756297,5.0,7.0,8.0,8.0,9.0,19.0,8.736842105263158,0.6533762964749499,7.0,8.5,9.0,9.0,10.0
yes,31.0,25.258064516129032,13.899562923429125,2.0,13.5,26.0,35.5,50.0,31.0,7.419354838709677,1.31083163293097,5.0,6.5,7.0,8.0,10.0,31.0,8.741935483870968,0.8932241949060667,6.0,8.0,9.0,9.0,10.0
no,13.0,30.076923076923077,14.279714857456238,5.0,20.0,33.0,39.0,50.0,13.0,7.769230769230769,0.7250110520819841,6.0,8.0,8.0,8.0,9.0,13.0,8.692307692307692,0.8548504142651104,7.0,8.0,9.0,9.0,10.0
yes ,37.0,23.89189189189189,14.527337799595061,1.0,11.0,24.0,35.0,49.0,37.0,7.378378378378378,1.2985323200391226,5.0,7.0,7.0,8.0,10.0,37.0,8.756756756756756,0.7960110763259726,6.0,8.0,9.0,9.0,10.0
Full time,20.0,25.85,14.49237549087178,1.0,13.25,27.5,38.5,48.0,20.0,7.7,1.260743306232687,6.0,7.0,7.5,8.0,10.0,20.0,8.9,0.5525062514530824,8.0,9.0,9.0,9.0,10.0
Part time,18.0,21.11111111111111,14.519313259115936,3.0,9.75,17.5,31.25,50.0,18.0,7.111111111111111,1.2782749814122838,5.0,6.0,7.0,8.0,9.0,18.0,8.555555555555555,0.9835244081556433,6.0,8.0,9.0,9.0,10.0
Student,7.0,34.57142857142857,11.148350294358098,20.0,27.0,36.0,41.5,49.0,7.0,7.714285714285714,0.48795003647426666,7.0,7.5,8.0,8.0,8.0,7.0,8.571428571428571,0.7867957924694431,7.0,8.5,9.0,9.0,9.0
Unemployed,5.0,27.2,16.976454282328802,5.0,16.0,29.0,39.0,47.0,5.0,7.6,1.1401754250991378,6.0,7.0,8.0,8.0,9.0,5.0,9.0,1.0,8.0,8.0,9.0,10.0,10.0
